Petal_width,Petal_length,Sepal_width,Sepal_length,Species_name
0.041667,0.067797,0.500000,0.083333,unknown
0.041667,0.084746,0.708333,0.277778,unknown
0.041667,0.067797,0.541667,0.194444,unknown
0.458333,0.542373,0.416667,0.388889,unknown
0.500000,0.542373,0.375000,0.388889,unknown
0.500000,0.559322,0.375000,0.527778,unknown
0.416667,0.338983,0.208333,0.222222,unknown
0.500000,0.525424,0.333333,0.388889,unknown
0.916667,0.711864,0.416667,0.666667,unknown
0.750000,0.677966,0.208333,0.555556,unknown
0.791667,0.711864,0.416667,0.611111,unknown
0.916667,0.745763,0.583333,0.527778,unknown
0.708333,0.694915,0.416667,0.444444,unknown
